episode,return,best_return,steps
1,-143.72866710260695,-143.72866710260695,105
2,-298.46840805592416,-143.72866710260695,108
3,-259.23491789400543,-143.72866710260695,92
4,-128.4191816369369,-128.4191816369369,60
5,-258.50287625662486,-128.4191816369369,101
6,-381.75579723044353,-128.4191816369369,87
7,-138.11601375495388,-128.4191816369369,95
8,-221.28225992000137,-128.4191816369369,63
9,-204.70753590956804,-128.4191816369369,119
10,-136.70246094531095,-128.4191816369369,60
11,-142.76946769542752,-128.4191816369369,95
12,-220.87033868349667,-128.4191816369369,68
13,-245.29579663429502,-128.4191816369369,86
14,-126.17149442727715,-126.17149442727715,66
15,-210.30186938604888,-126.17149442727715,115
16,-435.05503449844537,-126.17149442727715,84
17,-343.5511081809148,-126.17149442727715,99
18,-462.98306360736234,-126.17149442727715,129
19,-123.00871775655335,-123.00871775655335,94
20,-90.27915062939641,-90.27915062939641,83
21,-69.29975475935589,-69.29975475935589,78
22,-110.72634840138566,-69.29975475935589,64
23,-260.4984557258663,-69.29975475935589,101
24,-287.209526038743,-69.29975475935589,110
25,-312.259745191643,-69.29975475935589,105
26,-121.95165167129511,-69.29975475935589,94
27,-321.16569682517064,-69.29975475935589,99
28,-85.00769127247247,-69.29975475935589,63
29,-153.4778296681439,-69.29975475935589,120
30,-195.7284474582331,-69.29975475935589,84
31,-460.1658160285653,-69.29975475935589,134
32,-54.326439375366576,-54.326439375366576,110
33,-81.63871343277982,-54.326439375366576,66
34,-108.6239137642848,-54.326439375366576,77
35,-73.07350134609999,-54.326439375366576,94
36,-438.79759854139746,-54.326439375366576,149
37,-103.9242000453084,-54.326439375366576,66
38,-94.23100933499137,-54.326439375366576,71
39,-116.10738453591378,-54.326439375366576,128
40,-151.9967336029798,-54.326439375366576,57
41,-169.91311319506508,-54.326439375366576,76
42,-99.97039465594591,-54.326439375366576,85
43,-183.6452569824154,-54.326439375366576,123
44,-122.71988358913563,-54.326439375366576,90
45,-125.78744538888034,-54.326439375366576,68
46,-65.19758548266407,-54.326439375366576,67
47,-170.6243826961524,-54.326439375366576,83
48,-284.71078749990227,-54.326439375366576,111
49,-232.5961640201637,-54.326439375366576,100
50,-74.08396412398147,-54.326439375366576,96
51,-213.39549169259706,-54.326439375366576,100
52,-155.930490954645,-54.326439375366576,69
53,-32.67042476908709,-32.67042476908709,136
54,-381.00572574241494,-32.67042476908709,90
55,-91.18669078520809,-32.67042476908709,116
56,-109.76521917863691,-32.67042476908709,101
57,-338.69891790052753,-32.67042476908709,100
58,-258.95717748242237,-32.67042476908709,99
59,-60.8093549909836,-32.67042476908709,62
60,-114.90531407040017,-32.67042476908709,82
61,-166.30466946318865,-32.67042476908709,117
62,-256.78675383529537,-32.67042476908709,123
63,-180.7778655520067,-32.67042476908709,82
64,-107.71106864561634,-32.67042476908709,72
65,-459.2374022337194,-32.67042476908709,88
66,-83.1892827239033,-32.67042476908709,62
67,-294.5813706481092,-32.67042476908709,69
68,-132.47144226536744,-32.67042476908709,105
69,-360.6133236630622,-32.67042476908709,91
70,-204.23107059523267,-32.67042476908709,122
71,-66.56828859218565,-32.67042476908709,79
72,-82.15838144212279,-32.67042476908709,65
73,-81.27519870280085,-32.67042476908709,68
74,-234.37404058419995,-32.67042476908709,104
75,-179.42694792251456,-32.67042476908709,105
76,-129.47030589163285,-32.67042476908709,85
77,-191.95067640908894,-32.67042476908709,101
78,-79.09146041619425,-32.67042476908709,78
79,-158.0615527447442,-32.67042476908709,96
80,-80.30820241645209,-32.67042476908709,69
81,-94.73481412111809,-32.67042476908709,83
82,-124.87685631791382,-32.67042476908709,82
83,-189.0116572951152,-32.67042476908709,97
84,-231.03336179042475,-32.67042476908709,85
85,-194.8511099336436,-32.67042476908709,97
86,-116.05202279101843,-32.67042476908709,112
87,-140.12362981889044,-32.67042476908709,102
88,-68.84639124178001,-32.67042476908709,68
89,-117.70704514647556,-32.67042476908709,69
90,-378.5973085295223,-32.67042476908709,109
91,-11.522803105948,-11.522803105948,132
92,-100.53558391898025,-11.522803105948,76
93,-191.9305619194273,-11.522803105948,118
94,-200.55319039607542,-11.522803105948,108
95,-175.37444216394152,-11.522803105948,87
96,-109.86873984877317,-11.522803105948,82
97,-260.50056745371336,-11.522803105948,112
98,-91.65060655017028,-11.522803105948,79
99,-128.4397260278809,-11.522803105948,110
100,-143.03611656331617,-11.522803105948,97
101,-75.9443371667221,-11.522803105948,95
102,-86.99376872994614,-11.522803105948,70
103,-124.19552305202626,-11.522803105948,94
104,-139.48715919781574,-11.522803105948,85
105,-152.98783155768226,-11.522803105948,56
106,-80.48458230853561,-11.522803105948,70
107,-169.53047460808332,-11.522803105948,107
108,-115.12967213259103,-11.522803105948,104
109,-96.39795671102952,-11.522803105948,85
110,-164.2218161014874,-11.522803105948,104
111,-202.50004721803805,-11.522803105948,112
112,-54.83882900142998,-11.522803105948,105
113,-71.57365492914141,-11.522803105948,69
114,-224.8362924526279,-11.522803105948,118
115,-56.340421698046576,-11.522803105948,116
116,-55.12396509273323,-11.522803105948,70
117,-213.98421993425706,-11.522803105948,128
118,-112.37833984709829,-11.522803105948,90
119,-152.19140263722795,-11.522803105948,96
120,-176.76391898388874,-11.522803105948,123
