update,mean_return
1,-1895.7074561456768
2,-3581.0749128999346
3,-4014.2220363266665
4,-2159.801658487036
5,-2123.1768907083847
6,-2221.355015743771
7,-3501.044850977098
8,-1576.1210689777674
9,-3433.4692656865955
10,-1932.9123152755626
11,-3664.81219696597
12,-1968.3933385909202
13,-1928.7507302146435
14,-2594.0347047828373
15,-4234.271928789149
16,-2496.5130241415213
17,-1801.136112210701
18,-2206.940460296281
19,-1936.191034812645
20,-2257.9487035173343
21,-2392.7787457808095
22,-1772.619453984765
23,-3591.5134394202214
24,-1718.0522947909437
25,-1797.3856496097912
26,-2468.71413453536
27,-1796.4199727799532
28,-2190.7300026601
29,-1951.4270153127484
30,-2205.8567733241034
31,-1683.0193448275222
32,-1808.3228275330073
33,-1975.7103251458404
34,-2119.366187189653
35,-1982.7234291251373
36,-2374.9434322632765
37,-2861.370429978242
38,-2137.717591701046
39,-2201.2552758941815
40,-2167.0326449683166
41,-1946.8862739431654
42,-1773.9975610511074
43,-1829.4589400712819
44,-2329.108725239385
45,-1685.3216809639446
46,-1941.146671190476
47,-2017.546960561004
48,-2756.7145727423726
49,-3042.3202600419795
50,-1863.9500564115333
51,-1850.7505788205945
52,-2148.424961585958
53,-2005.9121159896704
54,-1834.0834473674468
55,-2947.648149371053
56,-2442.7198643811666
57,-1842.1635236914417
58,-2154.488981377963
59,-1811.6890572838445
60,-1886.068855119447
61,-1633.051834154864
62,-1845.5347211252165
63,-2012.952440641333
64,-2148.7317050939705
65,-2340.9187507539414
66,-2224.1979776883395
67,-2048.209562863052
68,-2696.4151081864406
69,-2847.909440179585
70,-1800.5907531096811
71,-1748.0124633559237
72,-1852.8487843904384
73,-3017.280496492563
74,-4468.215209325117
75,-1910.842791727435
76,-2093.973985709261
77,-1933.676898558475
78,-1968.9629413859348
79,-1264.8053527541676
80,-2174.855443539462
81,-1901.9854403073762
82,-2010.3973064315244
83,-1913.4231521638492
84,-2366.9514160426347
85,-2786.490784002604
86,-2265.2329815558846
87,-3096.5879599900763
88,-1851.7428653899185
89,-1959.08350436429
90,-1972.4066960603361
91,-2415.206369331304
92,-1413.0943007333997
93,-1762.8263022437734
94,-1737.1382029898566
95,-1217.3058438321852
96,-1493.9134339324094
97,-1701.798346069084
98,-1477.951058715563
99,-1448.7223422575264
100,-1643.939143074759
101,-2053.645010758068
102,-2161.567624855485
103,-3313.137879874377
104,-1534.9921666336306
105,-2331.7872329292813
106,-2404.042932319489
107,-1869.6079549002243
108,-2034.6136228685398
109,-2318.5613356170124
110,-1290.221769313266
111,-2013.6147670813414
112,-1949.0940112654814
113,-2006.8250059098827
114,-1910.0807669675003
115,-1878.427670062164
116,-1968.0611202048196
117,-1864.5176061907898
118,-1892.963783359819
119,-2329.876645676699
120,-2208.268623103315
121,-2131.412213470771
122,-1726.279055518582
123,-1542.7414077701885
124,-1894.3953181244815
125,-1883.0068298648991
126,-5029.987693350485
127,-1884.3539941513236
128,-1180.6397267438463
129,-2563.8790674089264
130,-1965.5797007974625
131,-1162.1616384541846
132,-4000.1825621818484
133,-2568.7200774155503
134,-2070.1438963825062
135,-1955.8314807186762
136,-1465.6550821650353
137,-1483.6712957919124
138,-1794.3741762199595
139,-1851.8736843242211
140,-1920.6888511913103
141,-1804.5926546080475
142,-2421.9920573276972
143,-1725.621862230845
144,-2890.4766277454632
145,-1825.902991460961
146,-2121.4396212101306
147,-2528.5204302813713
148,-1322.213702390811
149,-1859.5263230348803
150,-2631.3579853796305
151,-1898.1372233200498
152,-2110.50252903898
153,-1871.1767300210797
154,-1806.7180071680223
155,-2344.8051214599286
156,-1675.2019097816276
157,-2067.4451252301556
158,-1991.8615640399487
159,-1848.7482531241878
160,-2097.485549726449
161,-1881.5808145963204
162,-1804.463278557123
163,-1646.7463734261335
164,-2189.2235792086126
165,-1764.302774943374
166,-1878.901019592442
167,-1955.478700950671
168,-2116.452692710105
169,-2421.027481976302
170,-1861.6984286213076
171,-1418.312353722232
172,-1828.5398100126922
173,-1782.6621094088907
174,-1894.1603666513877
175,-1850.5583811673305
176,-1940.6025939249373
177,-1814.7539020675406
178,-1863.056673538701
179,-2111.108946752012
180,-1721.2924389672087
181,-1849.4976749217658
182,-2323.5429893992336
183,-1931.9003551548374
184,-1798.4227521674122
185,-2148.4686070436464
186,-1955.257279290725
187,-1913.0163928197371
188,-1826.0420394467583
189,-1685.2573473384625
190,-1954.9327171593898
191,-1844.1741639827196
192,-2845.7873420242104
193,-2475.0368168249756
194,-1527.5841909470685
195,-1684.2784969581653
196,-2598.2744488729363
197,-1885.4038573491569
198,-1856.4778156228351
199,-2115.5109910236224
200,-1984.8421824099248
201,-2145.7404939485637
202,-1358.5740508076744
203,-1773.5114936201608
204,-1778.8354365736686
205,-1886.1041840481876
206,-1908.5610590192573
207,-1880.081906413751
208,-2148.35319712238
209,-2213.0154858554097
210,-1641.6864367513165
211,-2437.6429185289894
212,-1753.908687181913
213,-1606.7118370755306
214,-1928.8233968372197
215,-1955.3435785085785
216,-1986.6826738088573
217,-1969.7851931598727
218,-2086.674563556595
219,-2362.2676117553424
220,-1775.7312272678275
221,-1115.8061952410255
222,-1880.8382263192545
223,-2017.6824771432382
224,-2348.4744153457955
225,-3231.403889691916
226,-1125.3327179222636
227,-1137.1491804912098
228,-1796.3053683786093
229,-2122.1021903879946
230,-2167.175441665253
231,-1344.2727412509842
232,-1855.7813029505771
233,-1887.9267769109674
234,-1901.8075224608292
235,-3598.890122004678
236,-1909.6032230761032
237,-1851.6086981115675
238,-2092.072383090526
239,-2199.7309504108307
240,-2054.1517866915074
241,-1383.5247629218295
242,-983.1191070718761
243,-2091.36668116084
244,-3784.8271277127
245,-1851.5306245399158
246,-2629.158285052358
247,-1958.075821294996
248,-2505.3799188557064
249,-1541.1033042887748
250,-1951.2520192060545
251,-1733.9162010917482
252,-1888.9079907984622
253,-2198.186747711994
254,-1995.0180072600433
255,-1043.831285318401
256,-1555.874576007706
257,-1847.087584929887
258,-2547.173894553927
259,-1872.628252900784
260,-1660.972324722606
261,-1570.4771635600691
262,-2232.394942469508
263,-1680.8171305777716
264,-3249.1124498672575
265,-2502.2663810345903
266,-1284.6340012181497
267,-1911.636760725921
268,-1856.9473043898606
269,-2045.4704793338394
270,-1985.957007699435
271,-4118.767779636545
272,-2262.4792574777794
273,-1577.7371782675439
274,-1714.8548625243081
275,-946.8651685729252
276,-1737.1878463434912
277,-1827.8007146566379
278,-2652.0363051791396
279,-1055.468555391396
280,-2012.7960451696217
281,-1585.6479854810962
282,-2303.297151385474
283,-864.0514094226088
284,-2234.4669926302217
285,-4446.681515872858
286,-2942.280926798471
287,-2153.2119206583166
288,-1744.3599117473725
289,-1858.7046611680605
290,-3246.598706912224
291,-3200.0325592556364
292,-1930.4263086029314
293,-1745.488379614213
294,-1043.614745736122
295,-1644.6073692878406
296,-1731.1142839360502
297,-2134.9931888274564
298,-1967.0314353681467
299,-2162.938148709351
300,-2067.3681886460017
301,-1805.5223761587065
302,-1963.1511143524033
303,-2181.6593711149103
304,-3094.0920213039244
305,-1842.3175437486268
306,-1821.9413749224186
307,-1364.4712949525467
308,-1984.8766154849448
309,-1562.7478701657944
310,-1906.5252947365204
311,-1966.0615401782943
312,-1788.346512170144
313,-2151.1706620978366
314,-1759.1750423712444
315,-2392.40606371306
316,-1627.358551746901
317,-1645.6260588181115
318,-1422.2715157143296
319,-2006.1473648728127
320,-1897.6181264204704
321,-1496.1008803326943
322,-1545.2290207563294
323,-1785.80957912148
324,-3426.892252895332
325,-2204.306595588696
326,-1883.1981551492142
327,-1582.544115020948
328,-1736.7229958627513
329,-2006.7390395101465
330,-2365.8015025597415
331,-1995.5385479444085
332,-1089.9174325919491
333,-1727.7077730267672
334,-1724.5616787931149
335,-1849.0591767799854
336,-1708.2449144808277
337,-2068.6007851679037
338,-1893.6107144160421
339,-1771.126850259714
340,-1916.0984104349193
341,-2096.3811349718017
342,-1902.6782971297362
343,-1257.6500882807347
344,-2014.4544657119131
345,-3062.0103962731205
346,-1774.3850980479267
347,-1572.6932910594733
348,-1724.8241278490113
349,-1879.1507249813167
350,-1891.35813190693
351,-1851.2144010588192
352,-1755.821742856688
353,-1748.2006102138203
354,-1805.2065877795876
355,-1905.3557672376992
356,-1898.7849644163864
357,-1801.1398365889927
358,-1763.2813661563453
359,-1927.0624609512088
360,-3020.2133254120545
361,-1419.6781933991424
362,-1786.397069634315
363,-1884.6765038657538
364,-1856.973607946711
365,-1733.1918747895713
366,-1892.4536867290726
367,-1407.0661374174197
368,-1852.4500960233927
369,-2012.360160015957
370,-1981.0915035225341
371,-1780.412824747481
372,-1776.4167728990594
373,-2487.8830681357135
374,-2934.9860074996236
375,-1898.614066731474
376,-2139.422655414524
377,-2534.948764938621
378,-1441.4632965077044
379,-1943.359444707731
380,-1659.9645200237126
381,-1991.1240878070976
382,-1891.8770896106341
383,-2961.816872586622
384,-1749.7058651950854
385,-2774.4610590329353
386,-1881.767115012293
387,-1687.1859952281302
388,-2978.6126599866147
389,-1846.4130235862842
390,-1740.9841247890581
391,-1723.3252047853937
392,-2036.3347837604645
393,-2301.156328936846
394,-1787.4433683542604
395,-1987.4183939707966
396,-2522.185108433882
397,-1799.7823915294327
398,-1777.2043971064752
399,-1525.3789361818135
400,-1821.4120143375337
