episode,return,update
1,-175.14069652463942,1
2,-124.5371357828993,1
3,-310.2485716706119,1
4,-247.0836270815536,1
5,-236.54493336952999,1
6,-137.9645772688253,2
7,-133.18175103245215,2
8,-367.8376477659114,2
9,-80.40939551661351,2
10,-337.8533320519373,2
11,-182.42461781765374,2
12,-79.18845433140733,3
13,-128.95233589448665,3
14,-96.33445355196399,3
15,-91.77819568462658,3
16,-365.9827864090658,3
17,-292.97655147548204,3
18,-108.79422233874763,3
19,-460.439493205572,4
20,-245.5859497540245,4
21,-117.41012649818586,4
22,-92.74579295243294,4
23,-153.62530859848505,4
24,-356.13525908526697,4
25,-119.34469228258867,5
26,-388.06331582163625,5
27,-224.1495765644528,5
28,-390.7731745508727,5
29,-92.78994546359826,5
30,-140.21139471366916,5
31,-113.82796224758636,6
32,-107.7900169879283,6
33,-231.64010234335188,6
34,-183.259850450677,6
35,6.7872461603659815,6
36,-112.33056310188965,6
37,-303.33271939716735,7
38,-197.63959965207374,7
39,-120.59718219843558,7
40,-195.2221152215182,7
41,-101.17463366684629,7
42,-168.51194378751313,7
43,-122.23049085259402,7
44,-144.96731527386885,8
45,-137.1007126816222,8
46,-92.20392292548895,8
47,-100.69345469126033,8
48,-139.25193522425084,8
49,-159.5208701867317,8
50,-223.10639703584633,9
51,-285.7609590508141,9
52,-190.97064492492848,9
53,-89.30370981515301,9
54,-114.87201852280911,9
55,-240.68277093186197,9
56,-119.1917602929186,10
57,-184.69748014412687,10
58,-82.38726571002489,10
59,-132.18157658190216,10
60,-69.41946434935412,10
61,-101.75904785543507,10
62,-80.66878871408552,10
